Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
LI00451,B_2,03 DE FEBRERO,LIMA,LIMA,LA VICTORIA,AV. SAN CRISTOBAL 1769-1771,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.06675,-77.010973,,Black,LI00451
LI00809,B_2,1 DE MAYO VES,LIMA,LIMA,VILLA EL SALVADOR,"AV. 1RO DE MAYO 989. 1ER SECTOR. GRUPO RESIDENCIAL 13. MZ- N, LT-5. CRUCE CON AV. LOS ALAMOS  503.",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.19469,-76.95103,,Oro,LI00809
LI04520,B_1,1° DE MAYO,LIMA,LIMA,VILLA EL SALVADOR,MZ G LT 9 1° SECTOR GRUPO 17,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.19449167,-76.95254722,,Oro,LI04520
IC00125,B_1,11 DE SEPTIEMBRE,ICA,ICA,LA TINGUIÑA,CALLE JOAQUIN LUNA VICTORIA NÂº 578,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-14.04389,-75.707149,,Clásico,IC00125
PI00012,B_3,13 DE DICIEMBRE,PIURA,SULLANA,SULLANA,CA. ANDRÉS RAZURI 304 AA.HH 09 DE OCTUBRE,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.90691,-80.66914,,Oro,PI00012
LO00150,D_3,13_DE_FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,CENTRO POBLADO 13 DE FEBRERO S/N,NO URBANO,Zona 2,REGIONES,FEE,-4.03291,-73.39929,Sitio_PIA,Abandonar,LO00150
CA00041,D_1,ATAHUALPA CLARO,CAJAMARCA,CAJAMARCA,CAJAMARCA,JR. EL TRIUNFO N° 167 BARRIO SAN MARTIN DE PORRES,URBANO REGIONES,Zona 1,REGIONES,FEE,-7.16714,-78.5041,,Oro,CA00041
LI04514,B_1,200 MILLAS,CALLAO,CALLAO,CALLAO,"ELMER FAUCETT, LT. 45, MZ. P - URB. 200 MILLAS",URBANO LIMA,Zona 1,LIMA,FEE,-11.99777111,-77.12308806,,Oro,LI04514
LI00884,B_2,22 DE AGOSTO,LIMA,LIMA,COMAS,AV 22 DE AGOSTO Y CALLE 4,URBANO LIMA,Zona 3,LIMA,FEE,-11.94578,-77.059845,,Oro,LI00884
LI00753,B_3,25 MARZO,LIMA,LIMA,LURIN,CALLE LAS PALMERAS S/N,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.293145,-76.850114,,Clásico,LI00753
AY00235,B_2,26 ENERO,AYACUCHO,HUAMANGA,AYACUCHO,AV. MARAVILLA # 214,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.1525,-74.2249,,Oro,AY00235
LI00865,B_1,26 LA PAZ,LIMA,LIMA,SAN MIGUEL,"Calle Santa Rosa (Ex. Ca. 27) n° 188 manzana K Lote 03, Urbanizacion Miramar",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.07902,-77.108,,Black,LI00865
LL00047,B_2,26 MARZO,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,"JR. 24 DE ABRIL VERTICAL 783, URB BARRIO CINCO PUEBLO JOVEN FLORENCIA DE MORA",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.08593889,-79.0247,,Clásico,LL00047
HN00008,B_2,28 DE JULIO HUANUCO,HUANUCO,HUANUCO,HUANUCO,JR HUANUCO No 732-736-740,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-9.93098,-76.24073,,Oro,HN00008
LI00705,B_2,28 DICIEMBRE,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ASENTAMIENTO HUMANO VILLA MARIA DEL TRINFO MZF LT 12 J.R 28 DE DICIEMBRE 631,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.15957,-76.9439,,Oro,LI00705
UC00040,B_2,29 DE DICIEMBRE PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,Jr. 1 Mz A Lote 8 AAHH Asociacion de Moradores Los Tulipanes,URBANO REGIONES,Zona 2,REGIONES,FEE,-8.41205,-74.58267,,Clásico,UC00040
LI00258,B_1,3 OCTUBRE,LIMA,LIMA,CARABAYLLO,Mz. A Lt 16 Residencial Las Lomas de Carabayllo,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.87401,-77.023761,,Oro,LI00258
LO00371,D_3,4GLO_CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,"SAN JUAN BAUTISTA, MAYNAS, LORETO",NO URBANO,Zona 2,REGIONES,FEE,-4.238583,-73.486709,Sitio_PIA,Abandonar,LO00371
LO00372,D_3,4GLO_FRAY_MARTIN,LORETO,MAYNAS,IQUITOS,"IQUITOS, MAYNAS, LORETO",NO URBANO,Zona 2,REGIONES,FEE,-3.71394,-73.31851,Sitio_PIA,Clásico,LO00372
LL00505,B_2,4TO SECTOR APIAT,LA LIBERTAD,TRUJILLO,TRUJILLO,CL SN,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.109625,-79.02148611,,Black,LL00505
LL00161,B_2,5 NOVIEMBRE,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,Av. 9 de Octubre N° 1149,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.08022,-79.02501,,Clásico,LL00161
PU00255,B_2,6 DE AGOSTO,PUNO,SAN ROMAN,JULIACA,JR. MARAVILLAS B-18 URB. SAN MATEO,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-15.46282,-70.14137,,Oro,PU00255
LI00418,D_2,7 DE MAYO,LIMA,LIMA,LOS OLIVOS,AV ANGELICA GAMARRA DE LEÓN VELARDE N° 1361 SUB LOTE A-1 EX FUNDO CHAVARRÍA DEL VALLE BOCANEGRA ,URBANO LIMA,Zona 3,LIMA,FEE,-12.007056,-77.075833,,Black,LI00418
LO00307,B_1,9 DE OCTUBRE ,LORETO,MAYNAS,IQUITOS,"SAMAREN LT. 28 MZ. ""B"" AA.HH. J. VELASCO ALVARADO",URBANO REGIONES,Zona 2,REGIONES,FEE,-3.76595556,-73.26198333,,Clásico,LO00307
UC00001,B_2,9 DE OCTUBRE PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,AAHH 9 DE OCTUBRE MZ 44 LT 13 SECTOR 9 DE OCTUBRE (ACTUALMENTE AV 9 DE OCTUBRE No 564 MZ 44 LT 13),URBANO REGIONES,Zona 2,REGIONES,FEE,-8.39334,-74.54629,,Clásico,UC00001
LA00046,B_2,9 OCTUBRE,LAMBAYEQUE,CHICLAYO,CHICLAYO,"AV. 9 DE OCTUBRE 651, AAHH CRUZ DEL PERDON",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.77763,-79.86019,,Black,LA00046
LA00165,B_2,A CORNEJO,LAMBAYEQUE,CHICLAYO,CHICLAYO,CALLE JORGE AREVALO 124 - URB. LA PRIMAVERA IV ETAPA,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.76256,-79.8529,,Black,LA00165
LI00161,B_2,A GAMARRA,LIMA,LIMA,SAN MARTIN DE PORRES,AV. ANGÉLICA GAMARRA N° 2228 URB. LOS LIBERTADORES,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.008025,-77.0863494,,Oro,LI00161
JU00342,B_1,A LOBATO,JUNIN,HUANCAYO,EL TAMBO,PASAJE MARISCAL CACERES  #  150,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.06584,-75.22892,,Oro,JU00342
LA00004,B_2,A NARANJAL,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,Av. Castillo de Oro Mz. M Lt. 13-14 Urb. Castillo de Oro,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.703,-79.89908,,Clásico,LA00004
CA00009,D_1,CAJAMARCA - CLARO,CAJAMARCA,CAJAMARCA,CAJAMARCA,JR. BAMBAMARCA ESQUINA CON JR. REVILLA RUIZ,URBANO REGIONES,Zona 1,REGIONES,FEE,-7.15273,-78.51502,,Oro,CA00009
MO00103,B_3,A_CAMPOS,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ASOC.SAN VALENTIN 3ERA ETAPA SAMEGUA,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-17.190482,-70.913681,,Oro,MO00103
UC00110,B_2,A_MONTANEZ,UCAYALI,CORONEL PORTILLO,CALLERIA,"LOTE 8 MZ ""B"" ASENTAMIENTO HUMANO PUERTA DEL PARAISO",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-8.393814,-74.55923,,Clásico,UC00110
AN00464,B_2,A_NAVARRO,ANCASH,SANTA,CHIMBOTE,JR. LIMA MZ. Y LT.10,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-9.048,-78.575556,,Oro,AN00464
PI00414,B_1,A_PANAPIURA_NEW,PIURA,PIURA,PIURA,Mz D Lt. 8 TERCERA ZONA INDUSTRIAL I1-I2,URBANO REGIONES,Zona 1,REGIONES,FEE,-5.173337,-80.672697,,Black,PI00414
LI01698,B_1,A_TINOCO_CT,LIMA,LIMA,SANTIAGO DE SURCO,AV. ANDRES TINOCO CDRA. 5 CON AV. CAMINOS DEL INCA CDRA. 32,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.14357,-76.9852,,Black,LI01698
LI04722,B_2,AA_CACERES,LIMA,LIMA,PUENTE PIEDRA,AV. SAN JUAN MZ. H1 LOTE 1A ASOC. PRIMERO DE MAYO,URBANO LIMA,Zona 3,LIMA,FEE,-11.862643,-77.091472,,Oro,LI04722
LI00943,B_2,ABANCAY CLARO (MURALLA),LIMA,LIMA,LIMA,AV. ABANCAY 173,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.04639,-77.02556,,Black,LI00943
AR00608,D_1,CHARACATO URA,AREQUIPA,AREQUIPA,CHARACATO,"AV. AREQUIPA 200, ESQUINA CALLE HURTADO",URBANO REGIONES,Zona 3,REGIONES,FEE,-16.4675,-71.4843,,Abandonar,AR00608
LI00763,B_2,ABEDULES,LIMA,LIMA,LA MOLINA,"AA.HH. MATAZANGO JR. CAMINO REAL N° 350, MZ- M LT. 9",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.07428,-76.971586,,Black,LI00763
TU00028,B_2,ABELARDO,TUMBES,TUMBES,TUMBES,"JOSE ABELARDO QUIÑONES MZ. LL, LOTE 14, AA.HH. PAMPA GRANDE",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-3.58211,-80.44836,,Oro,TU00028
LI04000,B_2,ABELARDO GAMARRA,LIMA,LIMA,RIMAC,Jr. Bartola Sanchez Urb. El Bosque 104,URBANO LIMA,Zona 3,LIMA,FEE,-12.021278,-77.031694,,Black,LI04000
LI05708,B_2,ABRAHAM_LINCOLN,LIMA,LIMA,LA VICTORIA,AV. SAN PABLO CDRA.10 - PARQUE ABRAHAM LINCOLN,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.071405,-77.00867,,Black,LI05708
LI00199,B_3,ABTAO 1,LIMA,LIMA,LA VICTORIA,Pje. Raimondi cdra. 1 / Pje. Villar (Alt cdra 6 y 7 Av Grau). ,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.05940319,-77.02477058,,Black,LI00199
LI05256,B_3,ABTAO 2,LIMA,LIMA,LA VICTORIA,Poste ubicado en Garcia Naranjo/ Cangallo,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0606554,-77.0215029,,Black,LI05256
LI05257,B_3,ABTAO 3,LIMA,LIMA,LA VICTORIA,Poste con armario ubicado en Cangallo / Av. Jaime Bauzate y Meza,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0632584,-77.0210446,,Black,LI05257
LO00019,B_2,ABTAO IQUITOS,LORETO,MAYNAS,IQUITOS,AV. JOSE GALVEZ N°  593,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-3.75918,-73.253804,,Clásico,LO00019
AR00136,B_2,ACARI,AREQUIPA,CARAVELI,ACARI,PLAZA PRINCIPAL S/N ,NO URBANO,Zona 3,REGIONES,FEE,-15.43577,-74.6164,,Abandonar,AR00136
AR00364,B_3,ACARI REP,AREQUIPA,CARAVELI,ACARI,CERRO ACARI,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-15.43560833,-74.61808333,,Abandonar,AR00364
LI06108,B_3,ACCESO_SANTA_ROSA,LIMA,LIMA,SANTA ROSA,PARCELA GOLF SANTA ROSA,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.7978,-77.1767,,Clásico,LI06108
AY00300,B_1,ACCHI,AYACUCHO,HUAMANGA,ACOCRO,CERRO ACCHI,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-13.43944444,-74.02194444,,Abandonar,AY00300
PU00012,B_2,ACCO ESQUIN,PUNO,SAN ROMAN,CARACOTO,JR. FAUSTINO S CON TEODRO V. URB. NESTOR C.V,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-15.54363,-70.12063,,Abandonar,PU00012
CU00456,B_2,ACCOMOCCO,CUSCO,ANTA,ANTA,Jr. Ayarmaca L3 Mz. S,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-13.478152,-72.111436,,Abandonar,CU00456
UC00045,D_2,ACHO MEGO,UCAYALI,CORONEL PORTILLO,YARINACOCHA,PREDIO DENOMINADO LA CAMPIÑA PARCELA H,URBANO REGIONES,Zona 2,REGIONES,FEE,-8.369972,-74.584278,,Clásico,UC00045
CU00373,B_3,ACHOJANTA,APURIMAC,AYMARAES,COTARUSE,ERMO ACHOJANTA,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-14.246694444444444,-73.20958333333334,,Abandonar,CU00373
PI00074,B_3,ACHOLADO,PIURA,TALARA,PARIÑAS,PARQUE 35 NRO. 19,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-4.581444,-81.271389,,Oro,PI00074
AR00275,B_1,ACHOMA,AREQUIPA,CAYLLOMA,ACHOMA,Local Municipal - Calle Mateo Pumacahua S/N,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-15.66151,-71.69641,,Abandonar,AR00275
JU00043,D_2,ACOBAMBA,JUNIN,TARMA,ACOBAMBA,CERRO NAUPAMARCA,NO URBANO,Zona 2,REGIONES,FEE,-11.348333,-75.669722,,Abandonar,JU00043
JU00348,B_3,ACOBAMBA URA,JUNIN,TARMA,ACOBAMBA,ESQ CHANCHAMAYO N° 605 / JR TRUJILLO,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-11.35283056,-75.65883611,,Abandonar,JU00348
HU00207,B_2,ACOBAMBA_CHOCLOCOCHA_CLARO,HUANCAVELICA,ACOBAMBA,ACOBAMBA,CERRO ACOBAMBA,NO URBANO,Zona 2,REGIONES,FEE,-12.822097,-74.579673,,Abandonar,HU00207
AY00170,D_2,ACOCRO,AYACUCHO,HUAMANGA,ACOCRO,CERRO LERPACO,NO URBANO,Zona 2,REGIONES,FEE,-13.2265,-74.045583,,Abandonar,AY00170
IC00281,B_2,ACOMAYO_ICA,ICA,ICA,PARCONA,"PREDIO DENOMINADO HABILITACIÓN URBANA LA MOLINA, MZ. A, LOTE S/N, SEGUNDA ETAPA",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-14.0645,-75.71715,,Clásico,IC00281
PU00061,D_2,ACORA,PUNO,PUNO,ACORA,CCARACCARA PATJA,NO URBANO,Zona 3,REGIONES,FEE,-15.97358,-69.80272,,Abandonar,PU00061
AN00192,B_3,ACOVICHAY ALTO,ANCASH,HUARAZ,INDEPENDENCIA,"LOTE DE TERRENO NOMBRADO CASCA, ESTANCIA DE ACOVICHAY",NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-9.5046,-77.5325,,Oro,AN00192
AY00178,D_2,ACUCHIMAY,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,"CL SACSAYHUAMAN LOTE 3, MANZANA O DE LA ZONA II ACUCHIMAY DEL ASENTAMIENTO HUMANO CARMEN ALTO",URBANO REGIONES,Zona 2,REGIONES,FEE,-13.172083,-74.222917,,Oro,AY00178
AN00353,B_3,ADELA_LOLI_REEM,ANCASH,HUARAZ,HUARAZ,"AV. PEDRO VILLON, ZONA II MZ 170 LOTE 1A",NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-9.536258,-77.526806,,Oro,AN00353
LO00013,B_2,AERO FLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,"URB. SANTA URSULA  B - 11 , CARRETERA IQUITOS - NAUTA ",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-3.78623,-73.3002,,Abandonar,LO00013
LI00003,D_2,AERO OVALO,CALLAO,CALLAO,CALLAO,"CALLE LOS METALES N° 120 URB. INDUSTRIAL BOCANEGRA ALTA (CRUCE DE AV. ELMER FAUCETT Y TOMÁS VALLE, FRENTE AEROPUERTO)",URBANO LIMA,Zona 1,LIMA,FEE,-12.018876,-77.106351,,Oro,LI00003
LO00287,B_2,AERO_SUR_LO,LORETO,MAYNAS,SAN JUAN BAUTISTA,"AAHH MAMMA IRENE MANZANA H, LOTE 10",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-3.797046,-73.311736,,Abandonar,LO00287
LI00002,D_2,AEROCARGA,CALLAO,CALLAO,CALLAO,CENTRO AERO COMERCIAL AV. ELMER FAUCETT S/N,URBANO LIMA,Zona 1,LIMA,FEE,-12.02453,-77.10342,,Oro,LI00002
PI00083,B_3,AERONAUTICA,PIURA,TALARA,PARIÑAS,"CALE 1 N° 189, TALARA ALTA",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-4.592167,-81.257972,,Oro,PI00083
AR00312,B_3,AERONAUTICA AQP,AREQUIPA,AREQUIPA,LA JOYA,"Carretera a La Joya, a 500m. Antes del desvio",NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-16.729559,-71.870394,,Abandonar,AR00312
IC00062,B_3,AEROPISCO,ICA,PISCO,SAN ANDRES,"BASE AEREA DE PISCO, ESCUADRON DE COMUNICACONES 515-DISTRITO SAN ANDRES-PISCO-ICA",NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-13.7416,-76.2234,,Abandonar,IC00062
LO00059,B_2,AEROPUERTO IQUITOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,"ASENTAMIENTO HUMANO TRES UNIDOS, LOTE 16 MANZANA A",URBANO REGIONES,Zona 2,REGIONES,FEE,-3.79409,-73.29776,,Abandonar,LO00059
AM00241,B_2,AEROPUERTO_CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,JR. SOCIEGO CD-07 BARR. EL PRADO,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.21441,-77.858022,,Clásico,AM00241
LI06545,B_1,AEROPUERTO_JC_INDOOR,CALLAO,CALLAO,CALLAO,AV. ELMER FAUCETT S/N - AEROPUERTO INTERNACIONAL JORGE CHAVEZ,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.025217,-77.107998,,Oro,LI06545
LL00389,B_1,AEROPUERTO_LL,LA LIBERTAD,TRUJILLO,HUANCHACO,AEREOPUERTO CARLOS MARTINEZ P. / CONTAINER,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.0851,-79.1072,,Clásico,LL00389
LO00031,B_2,AEROPUERTO_LO,LORETO,MAYNAS,SAN JUAN BAUTISTA,CORPAC 301 ASENT. H. POO SECADA VIGNIETA DISTRITO DE SAN JUAN BAUTISTA PROVINCIA DE MAYNAS ,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-3.78307,-73.29497,,Abandonar,LO00031
SM00395,B_2,AEROPUERTO_TARAPOTO,SAN MARTIN,SAN MARTIN,TARAPOTO,PROLG. JORGE CHAVEZ S/N,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.513097,-76.367457,,Oro,SM00395
CU00021,D_1,CHIARAJE,CUSCO,CANCHIS,SICUANI,CERRO CHIARAJE,NO URBANO,Zona 3,REGIONES,FEE,-14.3626917,-71.3825444,,Oro,CU00021
IC00084,B_3,AGRARIA NAZCA NEW,ICA,NAZCA,NAZCA,AV. LA CULTURA S/N,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-14.824321,-74.929523,,Oro,IC00084
TU00019,B_2,AGRICULTURA,TUMBES,TUMBES,TUMBES,"LOTE 28, MZ. Z, AAHH SANTA ROSA, CALLE PROLONGACIÓN SANTA ROSA, FRENTE A PROLONGACIÓN PIURA- YAHUAR HUACA, TUMBES",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-3.574733,-80.449901,,Oro,TU00019
PI00318,B_1,AGROALEGRE NEW,PIURA,PIURA,PIURA,CALLE SAN VICENTE DE HUANGALA NÂ° 27771 - FUNDO AGROALEGRE,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-4.831287,-80.553635,,Black,PI00318
PU00029,D_2,AGUA MILAGRO,PUNO,AZANGARO,ARAPA,CERRO SAMARIA,NO URBANO,Zona 3,REGIONES,FEE,-15.117,-70.01677778,,Abandonar,PU00029
JU00095,B_2,AGUA VIRGEN,JUNIN,HUANCAYO,EL TAMBO,MANZANA B LOTE 9 ASOCIACION DE VIVIENDA RESIDENCIAL LA MEJORADA,URBANO REGIONES,Zona 2,REGIONES,FEE,-12.05236,-75.23626,,Oro,JU00095
LI04723,B_1,AGUADA_BLANCA,LIMA,LIMA,SANTIAGO DE SURCO,Calle Villa Carrillo y Calle requena,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.11962,-76.99341,,Black,LI04723
UC00061,B_2,AGUARICO,UCAYALI,CORONEL PORTILLO,CALLERIA,"JR. ZAVALA 419, MZ. 72, LOTE 14-A",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-8.38053,-74.53575,,Clásico,UC00061
CU00339,D_2,AGUAS CALIENTES,CUSCO,URUBAMBA,MACHUPICCHU,ESQ MANCO INCA S/N COLLASUYO,NO URBANO,Zona 3,REGIONES,FEE,-13.1543035,-72.5257393,,Abandonar,CU00339
AR00133,B_2,AGUAS MARINAS,AREQUIPA,CAMANA,SAMUEL PASTOR,MZ. COMERCIO LT. 11 ZONA CERRILLOS,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-16.657,-72.66838889,,Abandonar,AR00133
SM00014,B_2,AGUASHIYACU,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,Jr. Huascar N° cuadra 5 - La Band ,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.487972,-76.349417,,Oro,SM00014
UC00026,B_2,AGUAYTIA,UCAYALI,PADRE ABAD,PADRE ABAD,"CALLE SANTA INES - MZ.B-3 LOTE 15, JUNTA VECINAL SANTA INES",NO URBANO,Zona 2,REGIONES,FEE,-9.038333,-75.507917,,Abandonar,UC00026
AN00457,P_3,CONOCOCHA REP,ANCASH,RECUAY,PAMPAS CHICO,CONOCOCHA LOCAL DE ABENGOA,NO URBANO,Zona 2,REGIONES,FEE,-10.1025325,-77.2516405,,Abandonar,AN00457
LI00864,B_2,AGUERO,LIMA,LIMA,SAN MIGUEL,"Av. Jr. Echenique No. 290 Magdalena del Mar, Lima Peru",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.094115,-77.075897,,Black,LI00864
JU00071,D_2,AGUSTIN URA,JUNIN,HUANCAYO,SAN AGUSTIN,AV LEONCIO PRADO S/N,URBANO REGIONES,Zona 2,REGIONES,FEE,-11.99242,-75.24797,,Abandonar,JU00071
AN00487,B_3,AGUSTIN_GAMARRA,ANCASH,HUARAZ,INDEPENDENCIA,Av. Agustin Gamarra 759 Barrio la Soledad,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-9.530883,-77.526556,,Oro,AN00487
LI00821,B_2,AGUSTINO 1,LIMA,LIMA,EL AGUSTINO,"Jr. Huandoval N° 259, Mz. 06, Lote 17B, Urb. Santoyo. ",URBANO LIMA,Zona 3,LIMA,FEE,-12.051297,-77.008066,,Oro,LI00821
LI00496,B_2,AGUSTINO 2,LIMA,LIMA,EL AGUSTINO,CALLE AMANCAES MZB LT 1 ANCIETA ALTA - EL AGUSTINO,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.041526,-77.003138,,Oro,LI00496
PI00139,B_2,AH.NVOHORIZONTE,PIURA,PIURA,PARIÑAS,AMPLACION MAZ C1 LT 4 AH NUEVO HORIZONTE,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.591971,-81.249023,,Oro,PI00139
JU00344,B_2,AHUAC,JUNIN,CHUPACA,AHUAC,BARRIO ALANYA,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.092389,-75.320439,,Abandonar,JU00344
HU00001,B_2,AHUAYCHA,HUANCAVELICA,TAYACAJA,PAMPAS,AV. 9 SETIEMBRE N° 360,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-12.401141,-74.90084,,Abandonar,HU00001
AN00109,D_2,AIJA,ANCASH,RECUAY,AIJA,Jr. 2 De Mayo s/n,NO URBANO,Zona 2,REGIONES,FEE,-9.7819,-77.6108,,Abandonar,AN00109
LL00292,B_2,AJEPER,LA LIBERTAD,TRUJILLO,TRUJILLO,Av. Metropolitana Mz. H Lt. 8 Urb. Las Orquideas ,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.08877,-79.04719,,Black,LL00292
LI04043,B_2,AJINOMOTO,LIMA,LIMA,LA VICTORIA,Ca. Rebagliati Cdra. 1 intersección con la Ca. Alberto Bartón,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.08799,-77.023292,,Black,LI04043
CU00374,B_1,AJOPUQUIO,APURIMAC,AYMARAES,COTARUSE,ERMO AJOPUQUIO,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-13.9908509,-73.1697498,,Abandonar,CU00374
AY00150,B_2,ALAMEDA AYACUCHO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,"Barrio Andamarca Mz. ""A"", Lote 3",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.17147,-74.22752,,Oro,AY00150
LI01704,B_2,ALAMEDA CORREGIDOR,LIMA,LIMA,LA MOLINA,AV. EL CORREGIDOR / JR. LOS TIPUANA,URBANO LIMA,Zona 2,LIMA,FEE,-12.08583,-76.9571,,Black,LI01704
AR00005,D_1,GLORIA_AR,AREQUIPA,AREQUIPA,UCHUMAYO,CERRO GLORIA KM 24 - VARIANTE UCHUMAYO,URBANO REGIONES,Zona 3,REGIONES,FEE,-16.4628833,-71.7090167,,Clásico,AR00005
LI01105,B_2,ALAMEDA DEL NORTE,LIMA,LIMA,PUENTE PIEDRA,MZ-B1. -LOTE-6. URB.ALAMEDA DEL NORTE. PUENTE PIEDRA.ES UNA TORRE AUTOSOPORTADA CUADRADA,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.84291,-77.08963,,Oro,LI01105
LI04724,B_2,ALAMEDA_CENTRAL,CALLAO,CALLAO,CALLAO,"MANZANA S, LOTE 17, PROGRAMA VIVIENDA RESINDECIAL MANUEL MUJICA GALLO",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-11.98364,-77.12189,,Oro,LI04724
