Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
LI01006,B_3,FLEXENT LARCOMAR,LIMA,LIMA,MIRAFLORES,ESTACIONAMIENTO NIVEL D DEL CENTRO COMERCIAL LARCOMAR CERCA ESCALERAS ACCESO NORTE,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.1317972,-77.0300056,,Black,LI01006
LI01014,B_2,FLEXENT PALACIO DE JUSTICIA,LIMA,LIMA,LIMA,AZOTEA DEL PALACIO DE JUSTICIA,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.0575333,-77.0350972,,Black,LI01014
LI00638,B_2,"FLEXI ESTADIO NACIONAL A,B,C,N",LIMA,LIMA,LIMA,ESTADIO NACIONAL - PASEO DE LA REPUBLICA 1,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.067446,-77.034497,,Black,LI00638
LL00379,B_2,FLOR DE LA CANELA,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,AV. EL GOLF 350,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.135707,-79.036189,,Black,LL00379
LI05808,B_2,FLOR_DE_AMANCAES,LIMA,LIMA,RIMAC,PS 39 AH MUNICIPAL 3 MZ H LOTE 09,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.00823,-77.034261,,Black,LI05808
LL00095,B_2,FLORENCIA ALTA,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,"ASENTAMIENTO HUMANO NUEVA FLORENCIA SECTOR 3, MZ, B, LOTE 05",URBANO REGIONES,Zona 1,REGIONES,FEE,-8.071149,-79.024301,,Clásico,LL00095
LL00078,B_2,FLORENCIA MORA 1,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,CL 25 DE DICIEMBRE MZ 8 LT 1,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.07826,-79.01795,,Clásico,LL00078
LI01212,D_3,FLORES,LIMA,LIMA,SAN JUAN DE LURIGANCHO,CALLE LOS ZAFIROS N° 1713,URBANO LIMA,Zona 3,LIMA,FEE,-12.0053,-77.0058,,Oro,LI01212
LI01020,B_2,FLORES DE PRIMAVERA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,FLORES DE PRIMAVERA N° 461,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.021744,-77.012801,,Oro,LI01020
AR00152,B_3,FLORESTA,AREQUIPA,AREQUIPA,YANAHUARA,Cacique Alpaca con Av. Arequipa,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-16.382211,-71.5427,,Black,AR00152
LI00862,B_2,FLORIPONDIOS,LIMA,LIMA,COMAS,"Jr. Las Empresas Nº 146, Mz C-6 Lt 18, Urb. Pro Industrial 6to. Sector  SMP",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.93609,-77.0693,,Oro,LI00862
LI00480,B_2,FONTANA,LIMA,LIMA,LA MOLINA,"AV LA FONTANA 1245, MZ. F LOTE 4, URB PABLO BONNER FONTANA LA MOLINA",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.073038,-76.941579,,Black,LI00480
LI00998,B_2,FONTANAR S1,LIMA,LIMA,ATE,JR. BUENOS AIRES MZ. L LT. 13 AAHH MUNICIPAL N° 1,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.067631,-76.978114,,Oro,LI00998
LI05347,B_2,FONTANAR_REEM,LIMA,LIMA,ATE,Avenida Hermes Cdra.2,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.06988,-76.97545,,Oro,LI05347
